Text,Label
"હું અગાઉ એક સાથીદાર સાથે વાત કરી રહ્યો હતો, અને અમે બંને સંમત થયા કે વસ્તુઓ આગળ વધી રહી છે, પરંતુ હજુ ઘણું કરવાનું બાકી છે.",2
તમારું કામ શ્રેષ્ઠ છે.,1
મને નથી લાગતું કે તે પરીક્ષા પાસ કરશે.,0
તમારું સ્મિત અને આનંદ અમૂલ્ય છે.,1
આ સેતુ બહુ જૂનો છે.,2
આજે હું ત્યાં જવાનો હતો.,2
આ દયનીય છે.,0
આ સમાધાનકારક નથી.,0
હું તમને થોડા સમય પછી મળીશ.,2
તે સારી છોકરી નથી,0
"આજે, મારે કેટલાક મૂલ્યવાન કામ કરવાની જરૂર છે.",2
તમારે આગળ વધવાની જરૂર છે તે બધું શક્ય છે.,1
મને ખબર નથી કે આ સમસ્યાને કેવી રીતે હલ કરવી.,0
આજે હું ઘરે રહી રહ્યો છું.,2
તમારો સહકાર શ્રેષ્ઠ બાબત છે.,1
"દરેક નવો દિવસ વૃદ્ધિ અને સુધારણા માટેની તક છે, અને હું આજનો દિવસ હજુ સુધી શ્રેષ્ઠ બનાવવા માટે સંકલ્પબદ્ધ છું.",1
"ભલે હું ગમે તેટલો સખત પ્રયાસ કરું, એવું લાગે છે કે વસ્તુઓ ખોટી થઈ રહી છે, અને જ્યારે કંઈપણ યોજના મુજબ ન થાય ત્યારે આશાવાદી રહેવું મુશ્કેલ છે.",0
તમારું માન અને માનસિક શક્તિ ખૂબ જ મહત્વપૂર્ણ છે.,1
મને આમાંથી ઘણી પ્રેરણા મળી.,1
"હું જેટલો વધુ વસ્તુઓને ઠીક કરવાનો પ્રયાસ કરું છું, તે વધુ ખરાબ થવા લાગે છે, અને હું વિશ્વાસ ગુમાવવાનું શરૂ કરું છું કે કંઈપણ ક્યારેય સારું થશે.",0
"હું પ્રેરિત રહેવા માટે સંઘર્ષ કરી રહ્યો છું કારણ કે એવું લાગે છે કે ભલે હું ગમે તેટલી મહેનત કરું, કંઈપણ ક્યારેય વળતર આપતું નથી.",0
હું શું કહું છું તે તેને સમજાતું નથી.,0
તે મારી સાથે વાત કરવા માંગતી નથી.,0
તમારી ધીરજ અને નિશ્ચય પ્રેરણાદાયી છે.,1
"હું જીવનની સરળ વસ્તુઓ માટે આભારી છું, જેમ કે સવારે ગરમ કોફીનો કપ અને મિત્ર તરફથી સ્મિત.",1
મારી પાસે કાલે બગીચામાં જવાનો સમય નથી.,0
આ હકારાત્મક નથી.,0
આ વસ્તી ધરાવતો વિસ્તાર છે.,2
હું તેની સાથે વાત કરતો હતો.,2
વરસાદ પડી રહ્યો હોવાથી અમે બહાર જઈ શકતા નથી.,0
મારા મિત્રો અને પરિવારનો ટેકો અને પ્રેમ દરેક પડકારનો સામનો કરવા માટે થોડો સરળ લાગે છે.,1
મારી પાસે આ પ્રવાસ માટે પૂરતા પૈસા નથી.,0
આજે બુધવાર છે,2
તમે જીવનના દરેક અવરોધોને પાર કરી શકશો.,1
"મેં આજે સવારે મારું ઇમેઇલ ચેક કર્યું, અને ત્યાં કેટલાક મહત્વપૂર્ણ સંદેશા હતા કે જેને આજે પછીથી અનુસરવાની જરૂર છે.",2
તમારી દયા અન્ય લોકો માટે આશા અને પ્રકાશ છે.,1
હું થોડું પાણી પી રહ્યો હતો.,2
"આજે કામ પર એક સામાન્ય દિવસ હતો, મીટિંગ્સ અને નિયમિત કાર્યો સાથે; તે ખાસ રોમાંચક ન હતું, પરંતુ તે મુશ્કેલ પણ ન હતું.",2
તે ઓફિસમાં ગઈ હતી.,2
"હું પછીથી કરિયાણાની દુકાનમાં અમુક મૂળભૂત પુરવઠો લેવા જાઉં છું, સામાન્ય સિવાય કંઈ નથી.",2
તેઓ જાણતા નથી કે આ સમસ્યાને કેવી રીતે ઠીક કરવી.,0
મને આ કામ ન ગમ્યું.,0
"તમે શ્રેષ્ઠ છો, અને તમે હંમેશા આગળ વધશો.",1
તમારું જીવન એક અનોખી અને મહાન યાત્રા છે.,1
તમારી ક્ષમતાઓમાં વિશ્વાસ રાખો.,1
તમારી વિશ્વસનીય દ્રષ્ટિ દરેકને પ્રેરણા આપે છે.,1
હું તટસ્થ છું.,2
તમે શરૂ કરેલ કાર્ય સફળ થશે.,1
"હું નિરાશા પછી નિરાશાનો સામનો કરું છું, અને હું આશ્ચર્ય પામી રહ્યો છું કે શું હું ક્યારેય બ્રેક પકડીશ કે કોઈ વાસ્તવિક પ્રગતિ જોઈશ.",0
તે ઘરની બહાર ગયો.,2
તે ખરાબ છોકરી નથી,1
મને આ નોકરીમાં રસ નથી.,0
તે એક મ્યુઝિયમમાં હતી.,2
આ એક સારી વાત છે.,1
આ અઠવાડિયું ખરાબ નથી,1
"તે એક રફ અઠવાડિયું રહ્યું છે, અને હું એ લાગણીને દૂર કરી શકતો નથી કે વસ્તુઓ ગમે ત્યારે જલ્દીથી સુધરશે નહીં.",0
"ભલે હું સકારાત્મક રહેવાનો કેટલો પ્રયત્ન કરું, જ્યારે મારી આસપાસની દરેક વસ્તુ તૂટી રહી હોય તેવું લાગે ત્યારે તે મુશ્કેલ છે.",0
તમારા જીવનમાં તમારી વિશ્વસનીયતા મહત્વપૂર્ણ છે.,1
આ દિવસ ગરમ હતો.,2
"તમે જોશો, તમારી મહેનત ફળશે.",1
હું માનતો નથી કે તેણે નમ્રતાથી કહ્યું.,0
તે આ મુદ્દા પર ધ્યાન કેન્દ્રિત કરી રહ્યો છે.,2
તમારો સકારાત્મક હેતુ અન્ય લોકોને પ્રેરણા આપે છે.,1
તમે તમારી શ્રેષ્ઠતા બતાવશો.,1
જો મને કંઈક અસામાન્ય લાગે તો મને વાંધો નથી.,2
તમારું મન સારા વિચારોથી ભરેલું છે.,1
મને એકલા મુસાફરી કરવાની મજા નથી આવતી.,0
તેઓ ભગવાનમાં માનતા નથી,0
તેઓ સમયસર કામ પૂરું કરી શકશે નહીં.,0
તમારું રક્ષણાત્મક કવચ સૌથી મજબૂત છે.,1
આજે મને કંઈ કરવાનું મન થતું નથી.,0
હું ચુપચાપ જવાનું વિચારી રહ્યો હતો.,2
તમારું હાસ્ય સકારાત્મક ઉર્જા આપે છે.,1
અમે આજે પાર્ટીમાં નથી જઈ રહ્યા.,0
"મારી પાસે આજે કેટલાક કાર્યો છે, તેથી હું તેમને એક પછી એક પૂર્ણ કરવા પર ધ્યાન કેન્દ્રિત કરીશ અને જોઉં છું કે હું કેટલું પરિપૂર્ણ કરી શકું છું.",2
"હું માનસિક અને ભાવનાત્મક રીતે ખૂબ જ નિષ્ક્રિય અનુભવું છું, અને ભલે હું શું કરું, મને વધુ સારું અનુભવવાનો કોઈ રસ્તો મળી શકતો નથી.",0
તમે ઇચ્છો તે બધું પ્રાપ્ત કરી શકો છો.,1
તમારું જીવન ખુશીઓથી ભરેલું છે.,1
હું ઘરે જાઉં છું.,2
તમારું જીવન વધુ આશાવાદી અને આનંદમય બની રહ્યું છે.,1
તમારું સુલભ જ્ઞાન દરેકને પ્રેરણા આપે છે.,1
તે હાલમાં કંઈક વાંચી રહી છે.,2
તમારી આસપાસ રહેવું આનંદદાયક છે.,1
"મારી રીતે આવતી તકો માટે હું અતિશય આભારી અનુભવું છું, અને હું આગળના ભવિષ્ય વિશે ઉત્સાહિત છું.",1
તમારું હાસ્ય અને આનંદ અમૂલ્ય છે.,1
તે ખરાબ છોકરો નથી,1
"તમારું મન ઊંચું છે, અને તમારી અંદર અનંત શક્તિ છે.",1
"હું દરરોજ નવી વસ્તુઓ શીખું છું, અને દરેક પસાર થતા ક્ષણ સાથે વધવા અને સુધારવા માટે તે ખૂબ લાભદાયી લાગે છે.",1
મારી પાસે આજે ડૉક્ટર પાસે જવાનો સમય નથી.,0
તમે તમારી મહેનતથી બધું જ હાંસલ કરી શકશો.,1
તમે ખરેખર શ્રેષ્ઠ છો અને તમારા પ્રયત્નોથી આગળ વધવાનું ચાલુ રાખશો.,1
આ એક સામાન્ય પ્રશ્ન છે.,2
મને સમજાતું નથી કે તેણે આવું કેમ કહ્યું.,0
આજે મંગળવાર છે,2
"હવે, હું જાઉં છું.",2
અમે આજે રાત્રે કોન્સર્ટમાં જઈ શકતા નથી.,0
